rfid_uid,Book Number ,Title,Author ,Ed./Vol.,Publisher place,Publisher,Year,Page(s),Class No.,Programme/ Dicipline,,,,Withdrawn Date,Remarks,ISBN /ISSN,Subject,Text/Reference,"Depriciated value
(Till 01-04-2022)"
,B027,Basic Inorganic Chemistry,Cotton F. Albert,3rd,New Delhi, Willey India Pvt. Ltd. India Pvt. Ltd,2014,xii; 838,546 COT,Chemistry (B.Sc),,,,,,9.78813E+12,Chemistry (B.Sc),,
CC3344BB,B028,Organic Chemistry,Graham Solomons T W,10th,New Delhi, Willey India Pvt. Ltd. India Pvt. Ltd,2014,xxix; 1164; A1-9;,547 SOL,Chemistry (B.Sc),,,,,,9.78813E+12,Chemistry (B.Sc),,
,B029,Organic Chemistry,Graham Solomons T W,10th,New Delhi, Willey India Pvt. Ltd. India Pvt. Ltd,2014,xxix; 1164; A1-9;,547 SOL,Chemistry (B.Sc),,,,,,9.78813E+12,Chemistry (B.Sc),,
,B030,Organic Chemistry,Graham Solomons T W,10th,New Delhi, Willey India Pvt. Ltd. India Pvt. Ltd,2014,xxix; 1164; A1-9;,547 SOL,Chemistry (B.Sc),,,,,,9.78813E+12,Chemistry (B.Sc),,
,B031,Organic Chemistry,Graham Solomons T W,10th,New Delhi, Willey India Pvt. Ltd. India Pvt. Ltd,2014,xxix; 1164; A1-9;,547 SOL,Chemistry (B.Sc),,,,,,9.78813E+12,Chemistry (B.Sc),,
,B032,Engineering Chemistry,Willey India Pvt. Ltd.,2nd,New Delhi, Willey India Pvt. Ltd. India Pvt. Ltd,2013,xxxiii; 1026,660.2 WIL,Chemistry (B.Sc),,,,,,9.78813E+12,Chemistry (B.Sc),,
,B033,Engineering Chemistry,Willey India Pvt. Ltd.,2nd,New Delhi, Willey India Pvt. Ltd. India Pvt. Ltd,2013,xxxiii; 1026,660.2 WIL,Chemistry (B.Sc),,,,,,9.78813E+12,Chemistry (B.Sc),,
,B034,Engineering Chemistry,Willey India Pvt. Ltd.,2nd,New Delhi, Willey India Pvt. Ltd. India Pvt. Ltd,2013,xxxiii; 1026,660.2 WIL,Chemistry (B.Sc),,,,,,9.78813E+12,Chemistry (B.Sc),,
,B035,Engineering Chemistry,Willey India Pvt. Ltd.,2nd,New Delhi, Willey India Pvt. Ltd. India Pvt. Ltd,2013,xxxiii; 1026,660.2 WIL,Chemistry (B.Sc),,,,,,9.78813E+12,Chemistry (B.Sc),,
,B036,Engineering Chemistry,Willey India Pvt. Ltd.,2nd,New Delhi, Willey India Pvt. Ltd. India Pvt. Ltd,2013,xxxiii; 1026,660.2 WIL,Chemistry (B.Sc),,,,,,9.78813E+12,Chemistry (B.Sc),,
,B037,Elements of Physical Chemistry,"Atkins, Peter Paula",6th,New Delhi, Oxford University Press,2009,xxiii; 591,541.3 ATK,Chemistry (B.Sc),,,,,,9.7802E+12,Chemistry (B.Sc),,
,B038,Elements of Physical Chemistry,"Atkins, Peter Paula",6th,New Delhi, Oxford University Press,2009,xxiii; 591,541.3 ATK,Chemistry (B.Sc),,,,,,9.7802E+12,Chemistry (B.Sc),,
,B039,Elements of Physical Chemistry,"Atkins, Peter Paula",6th,New Delhi, Oxford University Press,2009,xxiii; 591,541.3 ATK,Chemistry (B.Sc),,,,,,9.7802E+12,Chemistry (B.Sc),,
,B040,Elements of Physical Chemistry,"Atkins, Peter Paula",6th,New Delhi, Oxford University Press,2009,xxiii; 591,541.3 ATK,Chemistry (B.Sc),,,,,,9.7802E+12,Chemistry (B.Sc),,
,B041,Elements of Physical Chemistry,"Atkins, Peter Paula",6th,New Delhi, Oxford University Press,2009,xxiii; 591,541.3 ATK,Chemistry (B.Sc),,,,,,9.7802E+12,Chemistry (B.Sc),,
,B042,Vibrant English,Board of Ediitor,,New Delhi, Orient Black Swan,2013,207 p.,428 VIB,Soft & Technical Skills,,,,,missing,9.78813E+12,Soft & Technical Skills,,
,B043,Business Communication - Connecting in a Digital World,"Lesikar, Raymond V.",,New Delhi, McGraw Hill Education.Hill,2015,"xxxvii, 772 p.",651.7 LES,Soft & Technical Skills,,,,,,9.78935E+12,Soft & Technical Skills,,
,B044,Communication Skills,"Kumar, Sanjay.",7th,New Delhi, Oxford University Press,2013,"xvi, 668 p.",658.45 KUM,Soft & Technical Skills,,,,,,9.7802E+12,Soft & Technical Skills,,
,B045,Engineering Chemistry,Jain Jain,16th,New Delhi, Dhanpat Rai,2015,"xii, 1404 p.",660.2 JAI,Chemistry (B.Sc),,,,,,9.78935E+12,Chemistry (B.Sc),,
,B046,Dryden's Outlines of Chemical Technology,"Rao, M. Gopala",3rd,New Delhi, EWP Press,2015,"xii, 802 p.",660 RAO,Chemical Engineering (B.Tech),,,,,,9.78819E+12,Chemical Engineering (B.Tech),,
,B047,Dryden's Outlines of Chemical Technology,"Rao, M. Gopala",3rd,New Delhi, EWP Press,2015,"xii, 802 p.",660 RAO,Chemical Engineering (B.Tech),,,,,,9.78819E+12,Chemical Engineering (B.Tech),,
,B048,Dryden's Outlines of Chemical Technology,"Rao, M. Gopala",3rd,New Delhi, EWP Press,2015,"xii, 802 p.",660 RAO,Chemical Engineering (B.Tech),,,,,,9.78819E+12,Chemical Engineering (B.Tech),,
,B049,Dryden's Outlines of Chemical Technology,"Rao, M. Gopala",3rd,New Delhi, EWP Press,2015,"xii, 802 p.",660 RAO,Chemical Engineering (B.Tech),,,,,,9.78819E+12,Chemical Engineering (B.Tech),,
,B050,Dryden's Outlines of Chemical Technology,"Rao, M. Gopala",3rd,New Delhi, EWP Press,2015,"xii, 802 p.",660 RAO,Chemical Engineering (B.Tech),,,,,,9.78819E+12,Chemical Engineering (B.Tech),,
,B051,Calculus Early Transcendentals,"Stewart, James",7th,New Delhi, Cengage Learning,2015,"xxviii, 1170 p. A146",515 STE,Mathematics,,,,,,9.78813E+12,Mathematics,,
,B052,Calculus Early Transcendentals,"Stewart, James",7th,New Delhi, Cengage Learning,2015,"xxviii, 1170 p. A146",515 STE,Mathematics,,,,,,9.78813E+12,Mathematics,,
,B053,Data Communications and Networking,"Forouzan, Behrous A.",5th,New Delhi, McGraw Hill Education.Hill,2014,"xxxvii, 1126 p.",004.6 FOR,Computer Engineering (B.Tech),,,,,,9.78126E+12,Computer Engineering (B.Tech),,
,B054,Effective Technical Communication,"Rizvi, M. Ashraf.",26th,New Delhi, McGraw Hill Education.Hill,2013,"xxii, 545 p.",808.066 RIZ,Soft & Technical Skills,,,,,,9.78007E+12,Soft & Technical Skills,,
,B055,Effective Technical Communication,"Rizvi, M. Ashraf.",26th,New Delhi, McGraw Hill Education.Hill,2013,"xxii, 545 p.",808.066 RIZ,Soft & Technical Skills,,,,,,9.78007E+12,Soft & Technical Skills,,
